IDCarro;Oficina;Servico;Mecanico;DataEntrada;DataSaida;Responsavel;Obs;ValorServico
17;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;14/02/2004;14/02/2004;erlano;só foi trocado óleo;13.50
22;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;13/02/2004;13/02/2004;edson 2;foi trocado só óleo;13.50
32;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;14/02/2004;14/02/2004;lucio;foi trocado só óleo;13.50
13;OFICINA NOSSA SENHORA DA PENHA;suspenção diversos;piloto;19/02/2004;19/02/2004;fia;troca dos armotecedores trazeiros.duas buchas do eixo.jogo de patim.um tambor trazeiro.mão de obra custou R$70 reais.foi trocado um reservatorio de agua do radiador que custou R$ 60 com mão de obra.;510
8;JEOKAR AUTO PEÇAS LTDA.;Troca de Bateria;Toinho;19/02/2004;19/02/2004;rostanda;;100
19;OFICINA NOSSA SENHORA DA PENHA;troca do tanque do radiador;geraldo;19/02/2004;19/02/2004;davidson;;60
21;OFICINA NOSSA SENHORA DA PENHA;troca de colar.plator.disco;piloto;19/02/2004;19/02/2004;emmanuel;foi trocado a lanterna da placa;271
7;OFICINA NOSSA SENHORA DA PENHA;troca da val.termostatica;piloto;19/02/2004;19/02/2004;sandro;;54
18;JEOKAR AUTO PEÇAS LTDA.;troca da palheta do limpado;piloto;19/02/2004;19/02/2004;arley;;23
25;PNEUCAR COM DE PNEUS PEÇAS E SERVIÇOS LTDA;Troca de Pneus;Toinho;20/02/2004;20/02/2004;antonio;foi feito alinhamento.balanceamento.;1280
25;JEOKAR AUTO PEÇAS LTDA.;Troca de Bateria;Toinho;20/02/2004;20/02/2004;antonio;;200
16;OFICINA NOSSA SENHORA DA PENHA;troca de amortecedor;piloto;21/02/2004;21/02/2004;eduardo;foi trocado no mesmo dia o jogo de patim.piloto cobrou R$40 de mão de obra.;250
34;OFICINA NOSSA SENHORA DA PENHA;conserto da tampa do filtro de ar;Toinho;26/02/2004;26/02/2004;assis;;30
8;JEOKAR AUTO PEÇAS LTDA.;troca de cabos e velas;piloto;26/02/2004;26/02/2004;rostanda;;110
12;JEOKAR AUTO PEÇAS LTDA.;troca de cabos e velas;piloto;26/02/2004;26/02/2004;linaldo;foi trocado um filtro de ar no dia 28/02/04;120
20;JEOKAR AUTO PEÇAS LTDA.;troca de cabos e velas;piloto;26/02/2004;26/02/2004;amauri;foi trocado uma lampada do farol direito;115
26;RS-REGINALDO SILVA;lubrificação do onibus;Toinho;19/02/2004;19/02/2004;jefferson;foi trocado um jogo de lona de freio.retentor de roda trazeira.retentor de roda dianteira.correção de escape.obs:foi comprado um pneu por irenaldo na unidas para suporte ao valor R$ 673 .;910
15;AUTO ELÉTRICA DO GERALDO;serviço no motor de partida;geraldo;27/02/2004;27/02/2004;marcony;foi colocado um benzi de marca boche por isso que ficou mais caro.;60
19;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;28/02/2004;28/02/2004;davidson;foi trocado só óleo;13.50
7;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;28/02/2004;28/02/2004;sandro;óleo e filtro comprado por irenaldo na auto escola.;22.50
7;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;28/02/2004;28/02/2004;sandro;foi trocado o filtro de óleo;22
19;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;28/02/2004;28/02/2004;davidson;foi trocado no mesmo dia a correia do alternador.;53
25;AUTO ELÉTRICA DO GERALDO;serviço no motor de partida;geraldo;28/02/2004;28/02/2004;antonio;;40
34;OFICINA NOSSA SENHORA DA PENHA;troca de cabos e velas;piloto;02/03/2004;02/03/2004;assis;foi feito no mesmo dia uma regulagem na eco gás.;140
35;JEOKAR AUTO PEÇAS LTDA.;troca de cabos e velas;piloto;04/03/2004;04/03/2004;reserva;;130
15;PARA FIAT;troca de cabos e velas;piloto;04/03/2004;04/03/2004;marcony;;100
15;ECO GÁS LTDA;regulagem do gás;igor;04/03/2004;04/03/2004;marcony;;10
29;MOTOSHOP VEICULOS E PEÇAS LTDA;diversos moto;Toinho;04/03/2004;04/03/2004;gilberto;foi trocado bateria.cubo trazeiro.patim.escova.capa de proteção.presilia da coroa.bucha da coroa.;235
29;MOTOSHOP VEICULOS E PEÇAS LTDA;troca de óleo;Toinho;04/03/2004;04/03/2004;gilberto;;7
12;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;05/03/2004;05/03/2004;linaldo;;13.50
18;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;05/03/2004;05/03/2004;arley;não foi trocado filtro de óleo.;13.50
7;OFICINA NOSSA SENHORA DA PENHA;troca da coifa;piloto;05/03/2004;05/03/2004;sandro;foi trocado no mesmo dia duas mangueiras de freio.;57
31;OFICINA NOSSA SENHORA DA PENHA;troca dos cabos de vela;piloto;08/03/2004;08/03/2004;zê felinto;os cabos de vela foram trocados na garantia.por jonas da jeokar.;0
31;OFICINA NOSSA SENHORA DA PENHA;troca de pastilha de freio;piloto;05/03/2004;05/03/2004;zê felinto;foi trocado a junta do coletor.;60
31;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;05/03/2004;05/03/2004;zê felinto;;13.50
37;MOTOSHOP VEICULOS E PEÇAS LTDA;diversos moto;Toinho;05/03/2004;05/03/2004;clecio;foi trocado pneu dianteiro.vela.bujão de vedação.serv. De limpeza do carburado.borracha do pedal.esp.retrovisor.pinhão.corrente.coroa.mata cachorro.capa de proteção do tanque.obs:o pneu dianteiro não esta incluso nesta ordem de serviço.;95
37;MOTOSHOP VEICULOS E PEÇAS LTDA;troca de óleo;Toinho;05/03/2004;05/03/2004;clecio;;7
17;OFICINA NOSSA SENHORA DA PENHA;suspenção diversos;piloto;09/03/2004;09/03/2004;erlano;foi trocado kit do feixo.duas buchas da bandeija do lado esquerdo.uma braçadeira do eixo.troca das mangueiras de freio;105
15;OFICINA NOSSA SENHORA DA PENHA;regulagem dos tuchos;piloto;09/03/2004;09/03/2004;marcony;foi trocado no mesmo dia o radiador do carro comprado na parafiat valor R$130;180
32;ECO GÁS LTDA;troca de ouring;igor;10/03/2004;10/03/2004;lucio;foi feito no mesmo dia uma regulagem no gás.;20
25;PIMENTEL PENEUS E AR CONDICIONADO;reparo do ar- condicionado;Toinho;09/03/2004;09/03/2004;antonio;foi tambem trocado um rolamento do ventilado do ar.;85
15;PARA FIAT;troca da palheta do limpado;Toinho;11/03/2004;11/03/2004;marcony;;8
20;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;11/03/2004;11/03/2004;amauri;;20.50
20;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;11/03/2004;11/03/2004;amauri;;35
2;OFICINA NOSSA SENHORA DA PENHA;troca dos cabos de vela;piloto;11/03/2004;11/03/2004;tacio;foi feito uma regulagem no mesmo dia.;110
20;OFICINA NOSSA SENHORA DA PENHA;troca de pastilha de freio;piloto;13/03/2004;13/03/2004;amauri;foi trocado no mesmo dia a bucha do tirante.um rolamento da roda do lado direito(duas juntas homoc na garantia).;220
21;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;12/03/2004;12/03/2004;emmanuel;foi trocado no mesmo dia duas mangueiras de freio.;43.50
19;ECO GÁS LTDA;limpeza do redutor;igor;13/03/2004;13/03/2004;davidson;foi feito tambem a limpeza do cilindro.;70
34;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;13/03/2004;13/03/2004;assis;;13.50
22;ECO GÁS LTDA;troca da eletronica do gás;igor;13/03/2004;13/03/2004;edson 2;foi trocada na propria  auto escola.comprada por irenaldo;160
26;RS-REGINALDO SILVA;diversos onibus;Toinho;12/03/2004;12/03/2004;jefferson;foi trocado cotovelo da coifa.anilha e limpeza.foi feito uma recapagem de pneu na unidas veiculos ao valor R$175 no dia 16/03/04.;229
29;MOTOSHOP VEICULOS E PEÇAS LTDA;diversos moto;Toinho;15/04/2003;15/04/2003;gilberto;;113
29;MOTOSHOP VEICULOS E PEÇAS LTDA;troca de óleo;Toinho;15/03/2004;15/03/2004;gilberto;;7.50
29;MOTOSHOP VEICULOS E PEÇAS LTDA;diversos moto;Toinho;15/03/2004;15/03/2004;gilberto;abrir embreagem.junta de embreagem.cubo de embreagem.plator embreagem.cabo de embreagem.disco.rep. Pistão.junta d bomba;120
16;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;12/03/2004;12/03/2004;eduardo;foi trocado no mesmo filtro de ar.filtro de óleo.;28.50
2;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;11/03/2004;11/03/2004;tacio;foi trocado no mesmo dia filtro de óleo.;23.50
14;AUTO ELÉTRICA DO GERALDO;troca das buchas do motor de arranco;piloto;16/03/2004;16/03/2004;tony;;25
13;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;16/03/2004;16/03/2004;fia;foi trocado só óleo;13.50
13;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;16/03/2004;16/03/2004;fia;;45
22;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;18/03/2004;18/03/2004;edson 2;foi colocado um fluido de freio no mesmo dia.;19.50
22;OFICINA NOSSA SENHORA DA PENHA;troca de pastilha de freio;piloto;18/03/2004;18/03/2004;edson 2;foi cobrado R$ 15 de mão de obra.porque foi trocado duas mangueiras de freio.;63
21;JEOKAR AUTO PEÇAS LTDA.;Troca de Bateria;Toinho;18/03/2004;18/03/2004;emmanuel;;100
17;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;18/03/2004;18/03/2004;erlando;foi trocado no mesmo dia o filtro de óleo.;20.50
37;MOTOSHOP VEICULOS E PEÇAS LTDA;diversos moto;Toinho;17/03/2004;17/03/2004;clecio;foi trocado um cabo de embreagem;10
5;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;19/03/2004;19/03/2004;gutemberg;foi trocado óleo e filtro de óleo.;20.50
32;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;19/03/2004;19/03/2004;lucio;foi trocado no mesmo dia o filtro de óleo.;20.50
37;MOTOSHOP VEICULOS E PEÇAS LTDA;troca de óleo;piloto;19/03/2004;19/03/2004;clecio;foi trocado a vizeira do capacete.;10
7;REAL CAR SERVIÇOS AUTOMOTIVOS;Troca de Pneus;Toinho;20/03/2004;20/03/2004;sandro;foi colocado dois pneus na dianteira comprados por irenaldo na cisne pneus ao preço R$ 110 cada.alinhado e balanceado.;235
31;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;18/03/2004;18/03/2004;zê felinto;foi trocado no mesmo dia correia do alternador.;65
18;AUTO ELÉTRICA DO GERALDO;troca de motor radiador;geraldo;23/03/2004;23/03/2004;arley;;130
18;OFICINA NOSSA SENHORA DA PENHA;troca de cabos e velas;piloto;23/03/2004;23/03/2004;arley;foi trocado no mesmo dia um filtro de ar.;107
10;OFICINA NOSSA SENHORA DA PENHA;conserto no carte;piloto;22/03/2004;23/03/2004;silas;;30
10;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;23/03/2004;23/03/2004;silas;foi trocado no mesmo dia filtro de óleo.filtro de ar.;27.50
37;MOTOSHOP VEICULOS E PEÇAS LTDA;Troca de Pneus;Toinho;05/03/2004;05/03/2004;clecio;foi colocado na dianteira este pneu;65
29;MOTOSHOP VEICULOS E PEÇAS LTDA;Troca de Pneus;Toinho;24/01/2004;24/01/2004;gilberto;foi colocado na trazeira este pneu.;65
34;ECO GÁS LTDA;regulagem do gás;igor;28/02/2004;28/02/2004;assis;;10
29;MOTOSHOP VEICULOS E PEÇAS LTDA;troca de óleo;Toinho;24/03/2004;24/03/2004;gilberto;foi trocado tambem no mesmo dia soquete da lanterna do lado esquerdo.que custou R$5 reais.;12
14;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;26/03/2004;26/03/2004;tony;foi trocado no mesmo dia o filtro de óleo.;20.50
14;OFICINA NOSSA SENHORA DA PENHA;troca de pastilha de freio;piloto;25/03/2004;25/03/2004;tony;foi trocado no mesmo dia uma coifa do lado direito.;55
17;JEOKAR AUTO PEÇAS LTDA.;Troca de Bateria;Toinho;25/03/2004;25/03/2004;erlando;;100
11;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;25/03/2004;25/03/2004;klebio;foi trocado no mesmo dia o filtro de óleo.;20.50
11;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;25/03/2004;25/03/2004;klebio;a correia dentada deste veiculo quebrou faltando três mil para vinte e cinco mil.;40
11;OFICINA NOSSA SENHORA DA PENHA;serviço de cabeçote;piloto;25/03/2004;25/03/2004;klebio;;325
19;OFICINA NOSSA SENHORA DA PENHA;troca da val. Termost.comp;piloto;25/03/2004;25/03/2004;davidson;foi trocado no mesmo dia um rolamento da roda dianteira do lado direito.foi colocado um filtro de ar.;137
15;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;26/03/2004;26/03/2004;marcony;foi trocado filtro de óleo.filtro de ar no mesmo dia.;27.50
15;OFICINA NOSSA SENHORA DA PENHA;suspenção diversos;piloto;26/03/2004;26/03/2004;marcony;foi trocado as borrachas do tirante.buchas do braço ocilante.;74
30;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;26/03/2004;26/03/2004;edson 1;foi trocado no mesmo dia filtro de óleo.filtro de ar.;27.50
17;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;27/03/2004;27/03/2004;erlando;foi trocado no mesmo dia a lampada do farol esquedo em geraldo.;95
20;OFICINA NOSSA SENHORA DA PENHA;troca do reparo da alavanca de freio;piloto;26/03/2004;26/03/2004;amaury;;35
21;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;27/03/2004;27/03/2004;emmanuel;;75
8;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;13/03/2004;13/03/2004;rostanda;;13.50
26;UNIDAS VEICULOS E SERVIÇOS LTDA.;recapagem de pneu;Toinho;30/03/2004;30/03/2004;JEFFERSON;foi colocado este pneu da lado direito na trazeira ao lado de outro pneu feito recapagem.;150
25;PNEUCAR COM DE PNEUS PEÇAS E SERVIÇOS LTDA;Troca de Pneus;Toinho;31/03/2004;31/03/2004;antonio;;316
8;OFICINA NOSSA SENHORA DA PENHA;serviço de cabeçote;piloto;01/04/2004;01/04/2004;rostanda;foi trocado quadro val. De escape.quadro val.admissão.retentores de val..junta cabeçote.junta de admissão.ret. De comando.junta coleto admissão.bubo de óleo.cinco balanci.mangote da val.termostatica.correia dentada.obs:devido a correia dentada ter quebrad;378
8;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;01/04/2004;01/04/2004;rostanda;a correia deste carro quebrou faltando km 3500.antes do prazo.;35
17;REAL CAR SERVIÇOS AUTOMOTIVOS;alinhamento.balanciamento;Toinho;01/04/2004;01/04/2004;erlando;;15
21;REAL CAR SERVIÇOS AUTOMOTIVOS;Troca de Pneus;Toinho;01/04/2004;01/04/2004;emmanuel;foi colocado dois pneus comprados na cirne pneus por irenaldo na cirne pneus ao valor R$ 110 cada.;235
8;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;02/04/2004;02/04/2004;rostanda;foi trocado no mesmo dia o filtro de óleo;20.50
12;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;02/04/2004;02/04/2004;linaldo;foi trocado no mesmo dia o filtro de óleo.;20.50
37;MOTOSHOP VEICULOS E PEÇAS LTDA;troca de óleo;Toinho;02/04/2004;02/04/2004;clecio;;7
29;MOTOSHOP VEICULOS E PEÇAS LTDA;troca de óleo;Toinho;02/04/2004;02/04/2004;gilberto;;7
20;OFICINA NOSSA SENHORA DA PENHA;troca de colar.plator.disco;piloto;02/04/2004;03/04/2004;amaury;foi trocado no mesmo dia um cabo de embreagem.piloto cobrou R$ 60 reais de mão de obra.;225
15;OFICINA NOSSA SENHORA DA PENHA;serviço de cabeçote;piloto;02/04/2004;05/04/2004;marcony;foi trocado junta do cabeçote.retentor de val.retentor de comando.oring da bobina.junta do coletor de desc..junta da tampa do eixo.guia de val.;310
22;REAL CAR SERVIÇOS AUTOMOTIVOS;alinhamento.balanciamento;Toinho;02/04/2004;02/04/2004;edson;;15
31;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;02/04/2004;02/04/2004;zê felinto;foi trocado no mesmo dia o filtro de óleo.;20.50
10;OFICINA NOSSA SENHORA DA PENHA;troca de pastilha de freio;piloto;03/04/2004;03/04/2004;silas;;35
30;OFICINA NOSSA SENHORA DA PENHA;suspenção diversos;piloto;03/04/2004;03/04/2004;edson 1;foi feito no mesmo dia uma regulagem na eco gás.;75
25;AUTO ELÉTRICA DO GERALDO;troca das escovas do motor de partida;geraldo;03/04/2004;03/04/2004;antonio;;50
18;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;06/04/2004;06/04/2004;reserva;foi trocado no mesmo dia o filtro de óleo.;20.50
21;OFICINA NOSSA SENHORA DA PENHA;troca de pastilha de freio;piloto;06/04/2004;06/04/2004;emmanuel;;34
12;OFICINA NOSSA SENHORA DA PENHA;troca do tanque do radiador;Toinho;06/04/2004;06/04/2004;linaldo;;40
16;OFICINA NOSSA SENHORA DA PENHA;troca do tanque do radiador;Toinho;06/04/2004;06/04/2004;eduardo;foi colocado no mesmo dia dois litros de óleo para completa o nivel .foi aberto o cabeçote para troca dos retentores de val.;20
16;OFICINA NOSSA SENHORA DA PENHA;conserto do ventilador do radiador;Toinho;06/04/2004;06/04/2004;eduardo;foi colocado um ventilador usado que custou R$60 reais em geraldo.;60
5;JEOKAR AUTO PEÇAS LTDA.;troca da palheta do limpado;Toinho;07/04/2004;07/04/2004;gutemberg;;23
11;OFICINA NOSSA SENHORA DA PENHA;troca de pastilha de freio;piloto;07/04/2004;07/04/2004;klebio;;35
7;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;07/04/2004;07/04/2004;sandro;só foi trocado óleo.;13.50
7;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;07/04/2004;07/04/2004;sandro;;75
19;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;07/04/2004;07/04/2004;davidson;foi trocado no mesmo dia o filtro de óleo.;20.50
11;OFICINA NOSSA SENHORA DA PENHA;troca de junta homoc.;piloto;07/04/2004;07/04/2004;klebio;foi trocado no mesmo dia um filtro de ar;132
11;OFICINA NOSSA SENHORA DA PENHA;troca do tanque do radiador;Toinho;07/04/2004;07/04/2004;klebio;;40
10;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;16/04/2004;16/04/2004;silas;foi trocado no mesmo dia a correia do alternador.;53
37;MOTOSHOP VEICULOS E PEÇAS LTDA;troca de óleo;Toinho;14/04/2004;14/04/2004;clecio;foi trocado no mesmo dia o suporte do velocimêtro que custou vinte reais.;37
21;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;14/04/2004;14/04/2004;emmanuel;foi trocado no mesmo dia o filtro de óleo.filtro de ar.;27.50
12;AUTO ELÉTRICA DO GERALDO;serviço no motor de partida;geraldo;12/04/2004;12/04/2004;linaldo;;30
14;AUTO ELÉTRICA DO GERALDO;serviço no motor de partida;geraldo;13/04/2004;13/04/2004;tony;foi feito um conserto no cabo de alimentação do rádio no dia 19/04/04 que custou R$ 30 reais.;50
15;AUTO ELÉTRICA DO GERALDO;revisão da parte elétrica;geraldo;08/04/2004;08/04/2004;marcony;;15
7;OFICINA NOSSA SENHORA DA PENHA;troca de junta homoc.;piloto;20/04/2004;20/04/2004;sandro;piloto cobrou trinta reais de mão de obra.;115
29;MOTOSHOP VEICULOS E PEÇAS LTDA;troca de óleo;Toinho;19/04/2004;19/04/2004;gilberto;foi trocado uma pedaleira do lado esquerdo.valor cobrado R$ 9 reais.;16
22;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;20/04/2004;20/04/2004;edson 2;foi feito um reparo no cabo de alimentação do rádio no mesmo dia que custou R$ 10 reais.;30.50
22;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;20/04/2004;20/04/2004;sandro;foi trocado no mesmo dia uma espoleta do bloco.;79
13;OFICINA NOSSA SENHORA DA PENHA;troca dos cabos de vela;piloto;20/04/2004;20/04/2004;fia;;80
26;RS-REGINALDO SILVA;diversos onibus;Toinho;19/04/2004;19/04/2004;jefferson;foi recuperado a cuica.trocado o reparo da cuica.borracha da cuica.;110
25;OFICINA NOSSA SENHORA DA PENHA;troca de pastilha de freio;piloto;21/04/2004;21/04/2004;antonio;foi feito uma lubrificação nos rolamentos.piloto cobrou R$ 40 reais de mão de obra.;81.50
25;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;21/04/2004;21/04/2004;antonio;só foi trocado óleo.;22.50
35;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;21/04/2004;21/04/2004;reserva; foi trocado óleo.filtro de óleo;26
17;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;22/04/2004;22/04/2004;erlando;só foi trocado óleo;13.50
2;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;22/04/2004;22/04/2004;tacio;só foi trocado óleo;13.50
5;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;22/04/2004;22/04/2004;gutemberg;;13.50
32;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;22/04/2004;22/04/2004;lucio;;13.50
34;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;22/04/2004;22/04/2004;assis;;13.50
32;OFICINA NOSSA SENHORA DA PENHA;Velas;piloto;21/04/2004;21/04/2004;lucio;foi feito no mesmo dia uma regulagem de gás.;45
14;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;23/04/2004;23/04/2004;tony;a correia foi substituida faltando 9000 km para troca.;20
14;OFICINA NOSSA SENHORA DA PENHA;serviço de cabeçote;piloto;22/04/2004;23/04/2004;tony;foi comprado uma junta do cabeçote.junta escape.duas vál.escape.correia do alternador.uma val.admissão.junta admissão.junta escape.retentor comando.retentor de vál.jogo de vela. mangote do filtro de ar.um mangote da val.termostatica.a mão de obra custou R;298
20;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;23/04/2004;23/04/2004;amauri;só foi trocado óleo.;13.50
13;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;23/04/2004;23/04/2004;fia;;20.50
8;AUTO ELÉTRICA DO GERALDO;serviço de solda;geraldo;23/04/2004;23/04/2004;rostanda;foi feito uma solda na coluna da direção.trocado uma lampada.;31.50
25;ARTICÊNDIO LTDA.;troca de extintor;Toinho;23/04/2004;23/04/2004;antonio;;20
26;ARTICÊNDIO LTDA.;troca de extintor;Toinho;23/04/2004;23/04/2004;gilberto;;20
29;MOTOSHOP VEICULOS E PEÇAS LTDA;diversos moto;Toinho;27/04/2004;27/04/2004;arley;foi trocado um jogo de tração.dois retrovisores.uma maneta.um patim.;61.03
29;MOTOSHOP VEICULOS E PEÇAS LTDA;diversos moto;Toinho;14/02/2004;14/02/2004;gilberto;;9.30
30;OFICINA NOSSA SENHORA DA PENHA;troca do reparo da macha;piloto;29/04/2004;29/04/2004;edson 1;o reparo foi comprado na parafiat por R$ 30;60
30;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;29/04/2004;29/04/2004;edson 1;só foi trocado óleo.no mesmo dia foi feito um reparo no rádio que custou R$ 15;28.50
10;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;30/04/2004;30/04/2004;silas;só foi trocado óleo.;13.50
29;MOTOSHOP VEICULOS E PEÇAS LTDA;troca de óleo;Toinho;29/04/2004;29/04/2004;arley;;7
37;MOTOSHOP VEICULOS E PEÇAS LTDA;troca de óleo;Toinho;30/04/2004;30/04/2004;clecio;;7
5;OFICINA NOSSA SENHORA DA PENHA;troca de correia dentada;piloto;29/04/2004;29/04/2004;gutemberg;foi trocado no mesmo dia a correia do alternador.;55
20;ARTESTOFADOS;serviço no motor de partida;geraldo;28/04/2004;28/04/2004;amaury;;20
5;REAL CAR SERVIÇOS AUTOMOTIVOS;Troca de Pneus;Toinho;30/04/2004;30/04/2004;gutemberg;os pneus foram comprados por irenaldo na cirne pneus ao preço unitario de R$ 115 reais.foi alinhado e balanceado.;245
25;RADIOLAB SERVICE LTDA;conserto rádio;ivan;29/04/2004;29/04/2004;antonio;;35
22;REAL CAR SERVIÇOS AUTOMOTIVOS;Troca de Pneus;Toinho;30/04/2004;30/04/2004;edson 2;os pneus instalados neste carro foram comprados por irenaldo na cirne pneus ao valor de r$ 115 reais cada.foi alinhado e balanceado.;245
37;MOTOSHOP VEICULOS E PEÇAS LTDA;diversos moto;Toinho;30/04/2004;30/04/2004;clecio;foi trocado bucha da roda trazeira.rolamento trazeiro.;31.39
15;REAL CAR SERVIÇOS AUTOMOTIVOS;Troca de Pneus;Toinho;30/04/2004;30/04/2004;macony;foi colocado dois pneus na dianteira comprados por irenaldo na cirne pneus ao valor de R$ 115 reais cada.foi feito alinhamento e balanceamento.;245
13;RADIOLAB SERVICE LTDA;conserto rádio;ivan;30/04/2004;30/04/2004;fia;;30
16;JEOKAR AUTO PEÇAS LTDA.;Troca de Bateria;Toinho;03/05/2004;03/05/2004;eduardo;;100
14;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;03/05/2004;03/05/2004;tony;;13.50
16;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;04/05/2004;04/05/2004;eduardo;só foi trocado óleo.;13.50
31;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;05/05/2004;05/05/2004;zê felinto;só foi trocado óleo.;13.50
15;OFICINA NOSSA SENHORA DA PENHA;troca de óleo;piloto;07/05/2004;07/05/2004;marcony;foi trocado no dia 04/05/04 uma lampada do farol esquerdo em geraldo que custou R$ 13 reais.só foi trocado óleo.;26.50
2;AUTO ELÉTRICA DO GERALDO;conserto no limpado;geraldo;05/05/2004;05/05/2004;tacio;foi trocado uma palheta do limpado no dia 12/05/04;35
19;OFICINA NOSSA SENHORA DA PENHA;troca de pastilha de freio;piloto;06/05/2004;06/05/2004;davidson;foi trocado no mesmo dia um par de palheta.um reparo da alavanca de macha.foi trocado uma lampada de farol no dia 13/05/04 em geraldo.;109.50
5;OFICINA NOSSA SENHORA DA PENHA;troca de amortecedor;piloto;06/05/2004;06/05/2004;gutemberg;foi trocado no mesmo dia duas buchas do tensor.jogo de pastilha.bucha do eixo trazeiro.um pivo da suspensão;363
14;OFICINA NOSSA SENHORA DA PENHA;suspenção diversos;piloto;08/05/2004;08/05/2004;tony;foi trocado uma bucha do tirante.;40
17;OFICINA NOSSA SENHORA DA PENHA;suspenção diversos;piloto;08/05/2004;08/05/2004;erlando;foi trocado dois terminais de direção.dois pivos.duas buchas do oscilante.quatro borrachas do tirante.quatro borrachas do estabilizado com braçadeiras.foi feito no dia 14/05 novo alinhamento devido ao serviço de suspenção.;213
12;OFICINA NOSSA SENHORA DA PENHA;suspenção diversos;piloto;08/05/2004;08/05/2004;linaldo;foi trocado um jogo de pastilha.dois terminais de direção.dois pivo.alinhado e balanceado;310
2;OFICINA NOSSA SENHORA DA PENHA;conserto de porta;piloto;08/05/2004;08/05/2004;tacio;;30
25;OFICINA NOSSA SENHORA DA PENHA;conserto de escape;Toinho;08/05/2004;08/05/2004;antonio;foi gasto no dia 12/05/04 R$ 20 com uma solda no banco.;100
29;MOTOSHOP VEICULOS E PEÇAS LTDA;troca de óleo;Toinho;11/05/2004;11/05/2004;arley;;7
